@relation 'RandomTit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.75-A5-M-1_clustered'

@attribute Instance_number numeric
@attribute 0.393IsAlone=1+0.393FamilySize=1-0.328Fare=3-0.296Pclass=1-0.287Has_Cabin=1... numeric
@attribute 0.427Pclass=1+0.378Has_Cabin=1-0.313Pclass=3+0.312IsAlone=1+0.312FamilySize=1... numeric
@attribute 0.597Pclass=2+0.386Fare=1-0.383Pclass=3-0.355Fare=0-0.222Fare=3... numeric
@attribute -0.692Age=1+0.609Age=2-0.198FamilySize=2+0.159Age=0+0.108IsAlone=1... numeric
@attribute 0.425Fare=2-0.382Age=0-0.357Fare=1-0.338FamilySize=7-0.297Fare=3... numeric
@attribute 0.405FamilySize=2+0.361Age=2+0.301FamilySize=11-0.3Fare=2-0.278Age=0... numeric
@attribute 0.643FamilySize=4-0.434Age=3-0.306FamilySize=2-0.269FamilySize=6-0.253Fare=1... numeric
@attribute 0.699FamilySize=3-0.315FamilySize=4+0.315FamilySize=11-0.261FamilySize=5-0.244FamilySize=2... numeric
@attribute -0.65FamilySize=5+0.328Sex=1+0.292Age=4+0.277FamilySize=2+0.263FamilySize=6... numeric
@attribute -0.631FamilySize=11-0.477FamilySize=6+0.415FamilySize=7-0.205FamilySize=5+0.186Fare=0... numeric
@attribute 0.721FamilySize=8-0.456FamilySize=7-0.346FamilySize=6+0.324FamilySize=5+0.118Age=3... numeric
@attribute ﻿Survived {0,1}
@attribute Cluster {cluster0,cluster1}

@data
179,-2.182524,-1.49649,2.042224,1.06686,2.020489,1.654388,-0.086604,-0.969918,0.500863,0.584305,0.212241,1,cluster1
180,-1.789108,-1.307298,1.951859,1.270976,2.139154,1.293313,-0.482144,-0.571315,1.187094,0.425224,0.293265,0,cluster1
181,-1.552076,-2.166838,2.512505,-1.195163,1.025203,-0.906826,0.904562,1.900317,-0.602196,0.343725,-0.159091,1,cluster0
182,2.064702,0.248056,-1.406413,1.798364,1.050114,0.387247,0.359538,0.006199,0.047039,0.334693,0.087882,0,cluster1
183,-1.211923,2.925651,-0.491334,-1.387229,-0.765433,-0.28208,0.9742,-0.155255,-0.580149,-0.337941,-0.294131,1,cluster0
184,-0.913817,-2.557336,-0.752865,1.075722,1.763587,-0.110412,-0.405694,-1.937046,-4.952308,-1.749694,2.572943,0,cluster1
185,1.534924,-0.55309,0.060226,-0.654719,0.911121,-0.877235,-0.139425,-0.195135,0.027741,-0.352648,-0.018492,0,cluster0
186,2.293157,0.103288,0.518855,-0.726473,-0.89177,0.402297,-0.670528,0.153296,-0.013006,-0.389826,-0.155896,0,cluster0
187,1.079185,-0.398005,-0.14516,2.078368,1.508338,-0.163635,-0.110127,-0.238179,-0.169045,-0.211447,0.043211,0,cluster1
188,0.956793,1.27698,2.952401,0.97423,-1.382305,-0.73513,-1.897541,-0.253103,-0.510096,0.251132,0.523976,0,cluster1
189,1.431659,-1.024572,-1.594145,0.720342,-0.854214,-0.883289,0.504271,-0.865241,-0.36445,0.716516,0.037747,1,cluster1
190,1.690716,0.56467,2.762443,-0.57769,-1.155373,0.328532,-0.040243,0.125984,0.356908,-0.290251,-0.02549,0,cluster0
191,1.597791,-0.825063,0.035372,1.132708,-2.080216,-0.515714,-0.892037,-0.362585,0.064952,-0.025883,-0.063305,0,cluster1
192,2.064702,0.248056,-1.406413,1.798364,1.050114,0.387247,0.359538,0.006199,0.047039,0.334693,0.087882,0,cluster1
193,1.837418,0.258372,0.313469,2.006614,-0.294553,1.115897,-0.641229,0.110253,-0.209791,-0.248624,-0.094193,1,cluster1
194,0.25459,-1.277703,-1.347595,-1.890899,1.347315,1.204361,-0.672062,-0.256581,1.230049,0.730587,0.145826,0,cluster0
195,1.462261,0.709438,0.837175,1.947148,0.786511,0.313482,0.989823,-0.021113,0.416953,0.434268,0.218289,0,cluster1
196,2.064702,0.248056,-1.406413,1.798364,1.050114,0.387247,0.359538,0.006199,0.047039,0.334693,0.087882,0,cluster1
197,-3.540097,1.899253,-0.933653,0.593799,0.844868,1.601158,-0.394344,-0.105519,0.895523,0.181275,-0.031758,1,cluster1
198,-1.211923,2.925651,-0.491334,-1.387229,-0.765433,-0.28208,0.9742,-0.155255,-0.580149,-0.337941,-0.294131,1,cluster0
199,2.064702,0.248056,-1.406413,1.798364,1.050114,0.387247,0.359538,0.006199,0.047039,0.334693,0.087882,0,cluster1
200,1.837418,0.258372,0.313469,2.006614,-0.294553,1.115897,-0.641229,0.110253,-0.209791,-0.248624,-0.094193,0,cluster1
201,-0.985031,2.181079,-0.518959,1.459099,-0.189719,0.665498,0.891851,-0.201979,-0.707515,-0.157533,-0.110739,1,cluster1
202,2.293157,0.103288,0.518855,-0.726473,-0.89177,0.402297,-0.670528,0.153296,-0.013006,-0.389826,-0.155896,1,cluster0
203,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
204,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,1,cluster0
205,1.234977,0.719754,2.557057,2.155398,-0.558156,1.042132,-0.010945,0.082941,0.160123,-0.14905,0.036214,0,cluster1
206,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
207,0.614668,1.275135,2.675046,-0.895046,-1.252534,0.455629,0.466946,-0.268938,-0.398743,-0.170376,-0.228202,1,cluster0
208,1.671286,0.058863,-1.316049,1.594248,0.93145,0.748322,0.755079,-0.392404,-0.639192,0.493774,0.006859,0,cluster1
209,-3.247652,0.761574,-1.3968,-1.285345,-1.224733,-1.460663,-0.963854,-1.232851,1.380508,-3.353033,-2.509453,1,cluster0
210,-1.119039,2.681926,0.563506,0.717649,0.784986,-2.641629,-1.563686,-0.6494,-0.845572,0.085462,0.341743,1,cluster1
211,-1.61173,-2.542215,-3.114192,1.232702,-5.034472,-0.344302,-1.179395,0.851857,3.46294,2.169074,8.893031,0,cluster1
212,-1.580083,-1.957873,-0.201364,0.918077,2.284092,1.728153,-0.716888,-0.942606,0.130949,0.48473,0.081835,0,cluster1
213,-1.2278,-1.375893,-2.267233,-1.1579,-1.611421,4.308869,1.110596,3.815063,-0.562369,-7.318971,1.017775,0,cluster0
214,2.293157,0.103288,0.518855,-0.726473,-0.89177,0.402297,-0.670528,0.153296,-0.013006,-0.389826,-0.155896,0,cluster0
215,-3.933513,1.710061,-0.843289,0.389683,0.726203,1.962233,0.001196,-0.504122,0.209291,0.340356,-0.112781,1,cluster1
216,-0.730927,-1.923765,-0.086342,-1.610894,1.805539,0.653478,-1.141727,-0.500959,1.013966,0.184447,0.101155,0,cluster0
217,-1.124343,-2.112957,0.004023,-1.81501,1.686874,1.014553,-0.746187,-0.899562,0.327734,0.343528,0.020131,1,cluster0
218,0.027306,-1.267387,0.372287,-1.682649,0.002648,1.933011,-1.67283,-0.152527,0.973219,0.14727,-0.036249,1,cluster0
219,-1.667662,3.080736,-0.696721,1.345858,-0.168215,0.431519,1.003498,-0.198299,-0.776934,-0.196739,-0.232428,1,cluster1
220,-2.007816,-2.011754,2.307119,1.537925,1.62242,-0.193227,0.93386,1.857274,-0.798981,0.484927,-0.097388,1,cluster1
221,-2.247442,-3.095189,2.029022,0.664019,-0.163243,-1.824838,0.683052,1.384436,-0.524239,0.707668,-0.066499,1,cluster1
222,2.064702,0.248056,-1.406413,1.798364,1.050114,0.387247,0.359538,0.006199,0.047039,0.334693,0.087882,0,cluster1
223,-4.17314,0.626625,-1.121386,-0.484223,-1.05946,0.330622,-0.249612,-0.97696,0.484034,0.563098,-0.081893,1,cluster1
224,-1.592049,-0.832417,1.466894,-1.339889,-0.514819,-0.333089,0.794069,2.812582,0.168686,0.143544,-0.083452,0,cluster0
225,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
226,-2.460707,-0.939264,2.437569,-0.114307,1.196339,-0.122874,-1.9732,-1.305961,-0.169356,0.984486,0.700004,1,cluster1
227,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,1,cluster0
228,2.064702,0.248056,-1.406413,1.798364,1.050114,0.387247,0.359538,0.006199,0.047039,0.334693,0.087882,0,cluster1
229,2.064702,0.248056,-1.406413,1.798364,1.050114,0.387247,0.359538,0.006199,0.047039,0.334693,0.087882,0,cluster1
230,0.25459,-1.277703,-1.347595,-1.890899,1.347315,1.204361,-0.672062,-0.256581,1.230049,0.730587,0.145826,1,cluster0
231,-1.726785,-1.651575,2.247611,-1.666227,1.423271,0.940788,-0.115902,-0.926874,0.697648,0.443103,0.150538,1,cluster0
232,1.690716,0.56467,2.762443,-0.57769,-1.155373,0.328532,-0.040243,0.125984,0.356908,-0.290251,-0.02549,0,cluster0
233,-2.441205,-0.866525,1.351872,1.189082,-0.036266,0.741585,1.218908,2.370936,-0.714331,0.443826,-0.102773,1,cluster1
234,-1.61173,-2.542215,-3.114192,1.232702,-5.034472,-0.344302,-1.179395,0.851857,3.46294,2.169074,8.893031,0,cluster1
235,1.534924,-0.55309,0.060226,-0.654719,0.911121,-0.877235,-0.139425,-0.195135,0.027741,-0.352648,-0.018492,1,cluster0
236,0.237117,-1.020058,1.820331,1.353246,-0.540928,-1.869011,0.26935,-0.738329,0.475611,0.110869,0.204506,0,cluster1
237,0.499094,1.053521,1.348568,-0.854778,-1.011169,-0.016188,0.775907,0.291214,0.482305,-0.294174,0.10653,0,cluster0
238,-1.211923,2.925651,-0.491334,-1.387229,-0.765433,-0.28208,0.9742,-0.155255,-0.580149,-0.337941,-0.294131,1,cluster0
239,-0.575135,-0.806005,2.615875,-1.533865,-0.260955,1.859246,-1.042545,-0.179839,1.343133,0.246844,0.094157,0,cluster0
240,1.690716,0.56467,2.762443,-0.57769,-1.155373,0.328532,-0.040243,0.125984,0.356908,-0.290251,-0.02549,0,cluster0
241,-2.007816,-2.011754,2.307119,1.537925,1.62242,-0.193227,0.93386,1.857274,-0.798981,0.484927,-0.097388,1,cluster1
242,1.534924,-0.55309,0.060226,-0.654719,0.911121,-0.877235,-0.139425,-0.195135,0.027741,-0.352648,-0.018492,0,cluster0
243,0.25459,-1.277703,-1.347595,-1.890899,1.347315,1.204361,-0.672062,-0.256581,1.230049,0.730587,0.145826,0,cluster0
244,-3.247652,0.761574,-1.3968,-1.285345,-1.224733,-1.460663,-0.963854,-1.232851,1.380508,-3.353033,-2.509453,1,cluster0
245,2.293157,0.103288,0.518855,-0.726473,-0.89177,0.402297,-0.670528,0.153296,-0.013006,-0.389826,-0.155896,0,cluster0
246,-1.580083,-1.957873,-0.201364,0.918077,2.284092,1.728153,-0.716888,-0.942606,0.130949,0.48473,0.081835,1,cluster1
247,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
248,-0.385117,1.969615,0.373548,-0.834271,1.011918,-1.577967,0.293612,-0.270313,0.021432,-0.455921,-0.207722,1,cluster0
249,1.690716,0.56467,2.762443,-0.57769,-1.155373,0.328532,-0.040243,0.125984,0.356908,-0.290251,-0.02549,0,cluster0
250,1.786519,0.805282,-1.011068,0.617197,0.225965,-1.390014,-1.527058,-0.329844,-0.62318,0.734874,0.575645,0,cluster1
251,0.25459,-1.277703,-1.347595,-1.890899,1.347315,1.204361,-0.672062,-0.256581,1.230049,0.730587,0.145826,0,cluster0
252,2.064702,0.248056,-1.406413,1.798364,1.050114,0.387247,0.359538,0.006199,0.047039,0.334693,0.087882,0,cluster1
253,-1.589587,-3.83471,-1.238359,1.10223,-0.85529,-2.612754,-1.903448,-2.187216,1.380123,-2.844716,-2.222245,0,cluster1
254,-1.031004,-2.587709,0.327816,-1.109424,0.248784,-0.530323,3.66937,-2.04071,0.571955,-0.418058,0.051122,1,cluster0
255,-0.949635,-2.62822,0.268917,-1.343946,1.288806,-0.833061,0.274277,1.92763,-0.972109,0.244151,-0.289498,0,cluster0
256,1.101535,0.592139,-0.89502,-1.003561,-0.747566,0.057577,0.145622,0.318526,0.112391,-0.393749,-0.023877,1,cluster0
257,-4.211697,2.267287,-0.447944,-0.791485,-0.097946,0.184971,-1.8854,-0.840165,-0.460928,0.740538,0.374981,1,cluster1
258,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
259,-1.290123,-1.031617,-2.562984,1.779303,-0.895539,4.661394,0.744353,4.170623,-0.072923,-7.336851,1.160502,0,cluster1
260,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
261,-1.789108,-1.307298,1.951859,1.270976,2.139154,1.293313,-0.482144,-0.571315,1.187094,0.425224,0.293265,0,cluster1
262,-1.405374,-2.473136,0.063531,1.389141,1.886023,-0.119462,0.303576,1.884586,-1.168895,0.385352,-0.227794,1,cluster1
263,1.234977,0.719754,2.557057,2.155398,-0.558156,1.042132,-0.010945,0.082941,0.160123,-0.14905,0.036214,0,cluster1
264,1.899741,-0.085905,0.60922,-0.930589,-1.010435,0.763372,-0.274987,-0.245307,-0.699237,-0.230745,-0.23692,1,cluster0
265,-1.251584,-3.367379,-0.304931,0.719351,0.219025,-2.112147,-0.342773,1.810352,-0.207921,0.449012,-0.115882,1,cluster1
266,-0.840856,2.1247,0.168161,1.898817,1.609136,-0.864367,0.32291,-0.313357,-0.175353,-0.314719,-0.146019,0,cluster1
267,-0.201149,-1.122619,-1.552981,0.842189,1.944533,1.917961,-0.642764,-0.299624,1.033264,0.871789,0.207529,0,cluster1
268,1.899741,-0.085905,0.60922,-0.930589,-1.010435,0.763372,-0.274987,-0.245307,-0.699237,-0.230745,-0.23692,0,cluster0
269,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
270,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
271,1.234977,0.719754,2.557057,2.155398,-0.558156,1.042132,-0.010945,0.082941,0.160123,-0.14905,0.036214,0,cluster1
272,-3.758805,1.194798,-0.578394,0.860747,0.328135,0.114618,1.02166,2.32307,-1.090552,0.240979,-0.42241,1,cluster1
273,-0.949635,-2.62822,0.268917,-1.343946,1.288806,-0.833061,0.274277,1.92763,-0.972109,0.244151,-0.289498,0,cluster0
274,2.293157,0.103288,0.518855,-0.726473,-0.89177,0.402297,-0.670528,0.153296,-0.013006,-0.389826,-0.155896,0,cluster0
275,-1.124343,-2.112957,0.004023,-1.81501,1.686874,1.014553,-0.746187,-0.899562,0.327734,0.343528,0.020131,0,cluster0
276,-0.158225,1.225042,0.345922,2.012057,1.587632,-0.630389,0.211262,-0.317038,-0.105934,-0.275513,-0.02433,0,cluster1
277,2.064702,0.248056,-1.406413,1.798364,1.050114,0.387247,0.359538,0.006199,0.047039,0.334693,0.087882,0,cluster1
278,1.899741,-0.085905,0.60922,-0.930589,-1.010435,0.763372,-0.274987,-0.245307,-0.699237,-0.230745,-0.23692,0,cluster0
279,-3.084358,1.744169,-0.728267,-2.139288,0.24765,0.887558,-0.423643,-0.062475,1.092308,0.040074,-0.093461,0,cluster0
280,-0.840856,2.1247,0.168161,1.898817,1.609136,-0.864367,0.32291,-0.313357,-0.175353,-0.314719,-0.146019,1,cluster1
281,-0.840856,2.1247,0.168161,1.898817,1.609136,-0.864367,0.32291,-0.313357,-0.175353,-0.314719,-0.146019,1,cluster1
282,-1.766758,-0.317154,1.201999,-1.810953,-0.11675,1.514525,-0.226395,-0.01461,1.46853,0.242921,0.226176,0,cluster0
283,-1.6006,-2.51229,-2.908114,1.03175,-4.65872,0.964885,-0.3341,0.262107,-1.121452,3.623777,-3.865834,0,cluster1
284,1.837418,0.258372,0.313469,2.006614,-0.294553,1.115897,-0.641229,0.110253,-0.209791,-0.248624,-0.094193,0,cluster1
285,-1.994016,-2.701482,-2.817749,0.827634,-4.777384,1.32596,0.06144,-0.136496,-1.807684,3.782859,-3.946858,0,cluster1
286,2.293157,0.103288,0.518855,-0.726473,-0.89177,0.402297,-0.670528,0.153296,-0.013006,-0.389826,-0.155896,0,cluster0
287,-0.730927,-1.923765,-0.086342,-1.610894,1.805539,0.653478,-1.141727,-0.500959,1.013966,0.184447,0.101155,0,cluster0
288,-0.385117,1.969615,0.373548,-0.834271,1.011918,-1.577967,0.293612,-0.270313,0.021432,-0.455921,-0.207722,1,cluster0
289,1.234977,0.719754,2.557057,2.155398,-0.558156,1.042132,-0.010945,0.082941,0.160123,-0.14905,0.036214,0,cluster1
290,1.899741,-0.085905,0.60922,-0.930589,-1.010435,0.763372,-0.274987,-0.245307,-0.699237,-0.230745,-0.23692,1,cluster0
291,-3.303066,1.039713,-0.373007,-1.87234,-0.269083,-0.598981,0.992362,2.366113,-0.893767,0.099777,-0.484113,1,cluster0
292,1.690716,0.56467,2.762443,-0.57769,-1.155373,0.328532,-0.040243,0.125984,0.356908,-0.290251,-0.02549,0,cluster0
293,2.127025,-0.096221,-1.110662,-1.138839,0.334232,0.034722,0.725781,-0.34936,-0.442407,0.352573,-0.054845,1,cluster0
294,1.837418,0.258372,0.313469,2.006614,-0.294553,1.115897,-0.641229,0.110253,-0.209791,-0.248624,-0.094193,0,cluster1
295,1.690716,0.56467,2.762443,-0.57769,-1.155373,0.328532,-0.040243,0.125984,0.356908,-0.290251,-0.02549,0,cluster0
296,-0.840856,2.1247,0.168161,1.898817,1.609136,-0.864367,0.32291,-0.313357,-0.175353,-0.314719,-0.146019,1,cluster1
297,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
298,-0.529291,2.025994,-0.313573,-1.273988,-0.786937,-0.048102,0.862552,-0.158936,-0.51073,-0.298734,-0.172442,1,cluster0
299,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
300,-1.486743,-2.432625,0.12243,1.623663,0.846001,0.183277,3.698669,-2.083754,0.375169,-0.276857,0.112825,1,cluster1
301,2.293157,0.103288,0.518855,-0.726473,-0.89177,0.402297,-0.670528,0.153296,-0.013006,-0.389826,-0.155896,0,cluster0
302,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
303,-0.818506,3.114844,-0.581699,-1.183113,-0.646768,-0.643155,0.578659,0.243348,0.106083,-0.497022,-0.213108,1,cluster0
304,0.083327,-0.125815,2.188792,2.023036,1.126071,0.123674,0.915698,-0.664094,-0.485362,0.047209,0.092594,1,cluster1
305,-1.274246,3.269928,-0.787085,1.549974,-0.049551,0.070445,0.607958,0.200305,-0.090702,-0.35582,-0.151404,0,cluster1
306,-3.933513,1.710061,-0.843289,0.389683,0.726203,1.962233,0.001196,-0.504122,0.209291,0.340356,-0.112781,1,cluster1
307,0.614668,1.275135,2.675046,-0.895046,-1.252534,0.455629,0.466946,-0.268938,-0.398743,-0.170376,-0.228202,1,cluster0
308,-3.250882,0.810404,-0.665527,0.502923,0.704699,2.196211,-0.110451,-0.507803,0.27871,0.379563,0.008908,1,cluster1
309,-1.62956,-2.500289,-2.28397,0.957504,-2.395311,-2.039017,-2.013942,-1.274951,2.151005,-3.044898,-2.146607,0,cluster1
310,-4.036988,1.752024,-0.183049,-0.32042,-0.496015,-1.662644,-0.864936,1.987027,-1.760771,0.64116,0.065352,1,cluster1
311,-0.385117,1.969615,0.373548,-0.834271,1.011918,-1.577967,0.293612,-0.270313,0.021432,-0.455921,-0.207722,0,cluster0
312,1.690716,0.56467,2.762443,-0.57769,-1.155373,0.328532,-0.040243,0.125984,0.356908,-0.290251,-0.02549,0,cluster0
313,-4.211697,2.267287,-0.447944,-0.791485,-0.097946,0.184971,-1.8854,-0.840165,-0.460928,0.740538,0.374981,1,cluster1
314,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
315,-1.211923,2.925651,-0.491334,-1.387229,-0.765433,-0.28208,0.9742,-0.155255,-0.580149,-0.337941,-0.294131,1,cluster0
316,-0.529291,2.025994,-0.313573,-1.273988,-0.786937,-0.048102,0.862552,-0.158936,-0.51073,-0.298734,-0.172442,1,cluster0
317,1.234977,0.719754,2.557057,2.155398,-0.558156,1.042132,-0.010945,0.082941,0.160123,-0.14905,0.036214,0,cluster1
318,1.234977,0.719754,2.557057,2.155398,-0.558156,1.042132,-0.010945,0.082941,0.160123,-0.14905,0.036214,0,cluster1
319,2.064702,0.248056,-1.406413,1.798364,1.050114,0.387247,0.359538,0.006199,0.047039,0.334693,0.087882,0,cluster1
320,0.84156,0.530562,2.647421,1.951282,-0.67682,1.403207,0.384596,-0.315663,-0.526109,0.010032,-0.04481,1,cluster1
321,-0.851494,-2.901613,-0.457114,-1.861481,1.047704,-0.462937,-0.039451,-2.292606,-5.441754,-1.731815,2.430216,0,cluster0
322,-1.512456,2.492733,0.653871,0.513533,0.666322,-2.280555,-1.168145,-1.048003,-1.531803,0.244543,0.26072,0,cluster1
323,-3.81828,2.456479,-0.538308,-0.587369,0.020718,-0.176104,-2.280941,-0.441562,0.225304,0.581456,0.456005,0,cluster1
324,1.690716,0.56467,2.762443,-0.57769,-1.155373,0.328532,-0.040243,0.125984,0.356908,-0.290251,-0.02549,0,cluster0
325,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
326,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
327,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
328,-0.191402,-1.971843,0.727547,-1.4157,-0.514085,0.446471,-0.256825,2.276061,-1.012856,0.206973,-0.426902,1,cluster0
329,1.83781,0.992629,-1.378788,-1.047963,0.474401,-0.560331,0.441888,0.052924,0.174405,0.154285,-0.09551,0,cluster0
330,2.293157,0.103288,0.518855,-0.726473,-0.89177,0.402297,-0.670528,0.153296,-0.013006,-0.389826,-0.155896,0,cluster0
331,-1.589587,-3.83471,-1.238359,1.10223,-0.85529,-2.612754,-1.903448,-2.187216,1.380123,-2.844716,-2.222245,0,cluster1
332,-0.385117,1.969615,0.373548,-0.834271,1.011918,-1.577967,0.293612,-0.270313,0.021432,-0.455921,-0.207722,1,cluster0
333,2.127025,-0.096221,-1.110662,-1.138839,0.334232,0.034722,0.725781,-0.34936,-0.442407,0.352573,-0.054845,1,cluster0
334,1.690716,0.56467,2.762443,-0.57769,-1.155373,0.328532,-0.040243,0.125984,0.356908,-0.290251,-0.02549,0,cluster0
335,2.293157,0.103288,0.518855,-0.726473,-0.89177,0.402297,-0.670528,0.153296,-0.013006,-0.389826,-0.155896,0,cluster0
336,-1.72637,-3.51606,-0.155667,0.749757,-0.939662,-1.448334,3.447861,-2.556591,0.649912,-0.054116,0.143714,0,cluster1
337,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
338,-1.645001,-3.556571,-0.214566,0.515235,0.10036,-1.751073,0.052768,1.411749,-0.894152,0.608094,-0.196906,0,cluster1
339,2.127025,-0.096221,-1.110662,-1.138839,0.334232,0.034722,0.725781,-0.34936,-0.442407,0.352573,-0.054845,0,cluster0
340,-1.274246,3.269928,-0.787085,1.549974,-0.049551,0.070445,0.607958,0.200305,-0.090702,-0.35582,-0.151404,0,cluster1
341,-1.011958,-2.283943,-0.026834,1.593257,2.004688,-0.480536,-0.091965,2.28319,-0.482663,0.226271,-0.146771,0,cluster1
342,-1.332953,-3.326868,-0.246032,0.953873,-0.820997,-1.809409,3.05232,-2.157988,1.336143,-0.213197,0.224737,1,cluster1
343,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,1,cluster0
344,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
345,-1.34996,-2.751275,-0.960262,1.976136,0.930374,-0.981143,-1.65264,-1.714378,1.105381,-3.067458,-2.253134,0,cluster1
346,-3.540097,1.899253,-0.933653,0.593799,0.844868,1.601158,-0.394344,-0.105519,0.895523,0.181275,-0.031758,0,cluster1
347,-3.933513,1.710061,-0.843289,0.389683,0.726203,1.962233,0.001196,-0.504122,0.209291,0.340356,-0.112781,1,cluster1
348,2.293157,0.103288,0.518855,-0.726473,-0.89177,0.402297,-0.670528,0.153296,-0.013006,-0.389826,-0.155896,0,cluster0
349,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
350,1.825076,-0.83538,-1.68451,0.924458,-0.735549,-1.244364,0.10873,-0.466638,0.321782,0.557434,0.118771,0,cluster1
351,-1.592049,-0.832417,1.466894,-1.339889,-0.514819,-0.333089,0.794069,2.812582,0.168686,0.143544,-0.083452,0,cluster0
352,0.158929,1.430219,2.46966,1.838041,-0.655316,1.169228,0.496244,-0.311982,-0.595528,-0.029175,-0.166499,1,cluster1
353,-3.106707,0.754025,0.021593,0.942641,2.503554,0.666346,-0.679392,-0.61918,0.810872,0.222376,-0.026372,0,cluster1
354,2.293157,0.103288,0.518855,-0.726473,-0.89177,0.402297,-0.670528,0.153296,-0.013006,-0.389826,-0.155896,0,cluster0
355,-0.730927,-1.923765,-0.086342,-1.610894,1.805539,0.653478,-1.141727,-0.500959,1.013966,0.184447,0.101155,0,cluster0
356,-0.818506,3.114844,-0.581699,-1.183113,-0.646768,-0.643155,0.578659,0.243348,0.106083,-0.497022,-0.213108,1,cluster0
357,-0.253725,-1.627566,0.431795,1.521503,0.201797,0.798996,-0.623067,2.631621,-0.52341,0.189093,-0.284175,0,cluster1
358,-0.135875,2.215187,-0.403937,-1.069872,-0.668272,-0.409177,0.467012,0.239667,0.175502,-0.457816,-0.091419,0,cluster0
359,-3.453058,2.495878,-0.951946,-0.210573,0.067516,-1.019554,-0.566919,1.409266,3.6355,0.581609,0.566098,0,cluster1
360,-1.854026,-2.905997,1.938657,0.868135,-0.044578,-2.185912,0.287512,1.78304,0.161993,0.548587,0.014524,1,cluster1
361,1.559235,0.815598,0.708814,0.825447,-1.118702,-0.661365,-2.527826,-0.22579,-0.88001,0.151557,0.39357,0,cluster1
362,-3.051415,-0.8206,0.864548,0.640574,-2.721783,-1.18234,4.0793,-1.667958,1.721288,-0.193929,0.22807,1,cluster1
363,1.690716,0.56467,2.762443,-0.57769,-1.155373,0.328532,-0.040243,0.125984,0.356908,-0.290251,-0.02549,0,cluster0
364,1.444001,0.06918,0.403833,1.802498,-0.413217,1.476972,-0.245689,-0.28835,-0.896022,-0.089543,-0.175217,0,cluster1
365,1.431659,-1.024572,-1.594145,0.720342,-0.854214,-0.883289,0.504271,-0.865241,-0.36445,0.716516,0.037747,1,cluster1
366,-0.529291,2.025994,-0.313573,-1.273988,-0.786937,-0.048102,0.862552,-0.158936,-0.51073,-0.298734,-0.172442,1,cluster0
367,-1.580083,-1.957873,-0.201364,0.918077,2.284092,1.728153,-0.716888,-0.942606,0.130949,0.48473,0.081835,1,cluster1
368,2.064702,0.248056,-1.406413,1.798364,1.050114,0.387247,0.359538,0.006199,0.047039,0.334693,0.087882,0,cluster1
